,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor
YDL066W,0.00080414,0.000857775,0.000748146,0.000772456,0.000749466,0.00077644,0.001033529,0.001047621
YDL067C,0.000143178,0.000146059,9.40E-05,0.000110409,9.38E-05,7.88E-05,9.08E-05,7.18E-05
YDL072C,0.000111298,0.000116339,8.40E-05,8.66E-05,8.32E-05,8.32E-05,6.50E-05,7.69E-05
YDL075W,0.000211652,0.000249604,0.000266833,0.000204588,0.000168148,0.000232034,0.000213656,0.000196131
YDL078C,0.000257399,0.000248394,0.000208223,0.000216897,0.000185875,0.00016537,0.000172835,0.000159262
YDL084W,0.000715996,0.00074429,0.000730403,0.000800433,0.000787801,0.000860664,0.000776538,0.000739849
YDL086W,0.00022413,0.000250546,0.000195833,0.000185991,0.000130426,0.000138319,0.000140614,0.00012495
YDL092W,6.08E-05,5.14E-05,5.27E-05,4.64E-05,2.06E-05,2.36E-05,2.83E-05,2.40E-05
YDL095W,0.000189346,0.000181527,0.000192304,0.000203468,0.000218359,0.000243423,0.000256021,0.000246808
YDL097C,0.000634243,0.000634555,0.000568714,0.000562768,0.000391716,0.000411397,0.000284186,0.000302774
YDL099W,3.83E-05,3.38E-05,3.59E-05,4.30E-05,2.96E-05,2.81E-05,2.32E-05,2.66E-05
YDL100C,0.000644178,0.00068697,0.000601896,0.000670057,0.000586172,0.000519243,0.000411098,0.0003706
YDL103C,0.000161142,0.000168842,0.000173027,0.000134199,0.000130219,0.000127873,9.03E-05,9.80E-05
YDL112W,0.000155069,0.000151118,0.000139824,0.000120798,8.72E-05,9.00E-05,7.08E-05,9.86E-05
YDL122W,6.19E-05,6.51E-05,6.58E-05,6.25E-05,5.45E-05,5.71E-05,4.76E-05,6.25E-05
YDL124W,9.40E-05,0.000111645,9.11E-05,7.87E-05,7.06E-05,8.80E-05,6.05E-05,7.29E-05
YDL125C,0.000233462,0.000202963,0.000307044,0.000222486,0.000165308,0.000169754,0.000117609,0.000147083
YDL126C,0.002495336,0.002554181,0.00233874,0.002218904,0.002156139,0.002198644,0.001898068,0.001916999
YDL130W,0.000584379,0.000369798,0.00062778,0.000589414,0.001004967,0.000771512,0.000747778,0.000791204
YDL131W,0.000808946,0.000720293,0.000859837,0.00086612,0.000824365,0.000772764,0.000621878,0.000735385
YDL132W,7.43E-05,8.90E-05,8.02E-05,7.98E-05,7.30E-05,5.78E-05,3.40E-05,4.67E-05
YDL134C,2.29E-05,2.73E-05,1.83E-05,2.28E-05,1.37E-05,2.63E-05,1.70E-05,1.90E-05
YDL135C,0.000149448,0.000171858,0.000142509,0.000139722,0.000130252,0.000145614,0.000100748,0.000106608
YDL137W,1.87E-05,2.36E-05,2.32E-05,2.03E-05,1.94E-05,2.52E-05,3.21E-05,2.59E-05
YDL140C,0.00035796,0.000364188,0.000337567,0.000323731,0.000302816,0.000309541,0.000287489,0.00028511
YDL141W,6.24E-05,6.53E-05,6.16E-05,4.55809E-05,4.18E-05,4.47E-05,3.14E-05,3.94E-05
YDL143W,0.001161442,0.001237439,0.001103109,0.001008111,0.000857463,0.0008921,0.000707946,0.000673576
YDL144C,4.49E-05,7.25E-05,4.13E-05,3.93E-05,3.00E-05,2.94E-05,3.42E-05,2.67E-05
YDL145C,0.000674278,0.000709255,0.000636636,0.000615239,0.000550545,0.000534916,0.000488122,0.000512201
YDL147W,0.000552938,0.00055281,0.000439944,0.000446311,0.000281609,0.00031965,0.000198573,0.000228345
YDL148C,4.55E-05,5.34E-05,5.09E-05,4.43E-05,3.46E-05,3.90E-05,2.53E-05,2.80E-05
YDL153C,6.06E-05,6.43E-05,6.46E-05,6.08E-05,4.68E-05,4.78E-05,4.46E-05,5.33E-05
YDL160C,0.000113781,0.000132653,0.000118405,0.000119496,0.00011881,0.000124171,0.000137591,0.00013262
YDL166C,1.78E-05,2.60E-05,2.71E-05,2.57E-05,1.86E-05,2.25E-05,2.21E-05,2.19E-05
YDL168W,0.000307138,0.000311056,0.000232771,0.000271315,0.000200662,0.000192712,0.000161177,0.000146396
YDL171C,0.001247525,0.001240111,0.001504126,0.001485803,0.001647733,0.001616279,0.001926526,0.002048795
YDL174C,0.000406342,0.000424591,0.000434168,0.000399434,0.000412931,0.000426757,0.000393694,0.000422077
YDL178W,0.000210196,0.000207203,0.000170719,0.000175203,0.000138328,0.00015396,0.000153117,0.000140686
YDL182W,0.000618551,0.000699281,0.000744485,0.000690647,0.000819635,0.000725771,0.000890043,0.001067619
YDL185W,0.002300566,0.002220694,0.002210344,0.00230624,0.002472494,0.002417454,0.002753763,0.002732713
YDL188C,1.70E-05,1.48E-05,1.37E-05,1.88E-05,1.95E-05,1.23E-05,4.72E-06,1.27E-05
YDL190C,6.75E-05,7.05E-05,6.66E-05,6.43E-05,3.18E-05,4.39E-05,2.23E-05,4.20E-05
YDL191W,0.003953815,0.004033144,0.004150224,0.003950208,0.003777005,0.003766264,0.003312677,0.003185344
YDL192W,0.000131085,0.000113615,0.000121522,0.000129162,9.08E-05,0.000126249,0.000122566,9.34E-05
YDL195W,0.000568011,0.000612522,0.000506499,0.000511135,0.000512028,0.000540121,0.0005286,0.000533005
YDL198C,0.000116329,0.000140616,0.000168775,0.00016673,0.00014041,0.000152637,0.000234667,0.000272592
YDL201W,8.91E-05,8.55E-05,8.68E-05,8.59E-05,6.64E-05,6.92E-05,6.06E-05,6.70E-05
YDL202W,2.19E-05,1.63E-05,1.77E-05,1.71E-05,1.41E-05,1.44E-05,9.10E-06,2.33E-05
YDL205C,5.10E-05,5.17E-05,4.80E-05,4.39E-05,3.51E-05,3.52E-05,3.34E-05,3.38E-05
YDL213C,6.13E-05,6.94E-05,5.33E-05,7.39E-05,5.55E-05,7.12E-05,5.79E-05,5.67E-05
YDL225W,0.000112823,0.000119982,0.000118492,0.000105481,0.000107508,9.64E-05,4.67E-05,0.000118097
YDL226C,0.000267051,0.000275789,0.000260111,0.000262306,0.000199564,0.000182231,0.000168299,0.000182163
YDL236W,0.000250161,0.000231477,0.000234482,0.000207358,0.000161768,0.000162438,0.000123172,0.000122454
YDL237W,3.78E-05,4.14E-05,3.20E-05,3.06E-05,2.43E-05,2.78E-05,2.28E-05,2.71E-05
YDR001C,3.52E-05,2.27E-05,2.56E-05,2.09E-05,2.07E-05,1.35E-05,1.67E-05,1.38E-05
YDR011W,6.77E-05,5.52E-05,5.61E-05,5.14E-05,4.58E-05,4.17E-05,4.65E-05,5.21E-05
YDR019C,0.000374905,0.000356316,0.00040251,0.000397786,0.000410562,0.000414142,0.000426079,0.000417974
YDR023W,0.001437367,0.001468102,0.00137535,0.001399001,0.001431228,0.001474416,0.00127534,0.001264265
YDR025W,0.005996449,0.005678435,0.005886751,0.006039063,0.005291552,0.0052411,0.004668061,0.004815331
YDR032C,0.000129261,0.000153298,0.000145622,0.000141415,0.000164753,0.00018801,0.000230223,0.000238974
YDR033W,0.000148972,0.000155558,8.29E-05,9.66E-05,0.000112059,0.000145381,0.000149837,0.000113154
YDR035W,0.000370055,0.000411913,0.000385177,0.000413751,0.000298321,0.000285054,0.000309145,0.000329153
YDR036C,5.10E-05,5.11E-05,7.20E-05,4.01E-05,5.42E-05,7.22E-05,7.07E-05,7.97E-05
YDR037W,0.002250088,0.002185338,0.002203231,0.002144706,0.002258486,0.002432983,0.002504977,0.002396064
YDR044W,1.40E-05,1.81E-05,1.55E-05,9.54E-06,2.01E-05,2.17E-05,3.13E-05,2.66E-05
YDR047W,7.76E-05,8.18E-05,5.59E-05,7.10E-05,6.29E-05,6.66E-05,5.15E-05,4.63E-05
YDR050C,0.004818752,0.005182971,0.007476453,0.007270696,0.007832602,0.007817056,0.007301032,0.006951209
YDR051C,0.000109271,9.07E-05,6.33E-05,7.77E-05,2.95E-05,3.91E-05,3.71E-05,3.76E-05
YDR060W,8.18E-05,9.28E-05,9.60E-05,9.02E-05,9.20E-05,7.84E-05,7.29E-05,8.81E-05
YDR061W,5.90E-05,6.37E-05,3.51E-05,3.26E-05,2.36E-05,3.83E-05,2.58E-05,2.36E-05
YDR062W,0.000105508,9.72E-05,9.08E-05,0.000100682,7.74E-05,8.97E-05,9.70E-05,8.15E-05
YDR064W,0.004503297,0.004652824,0.004497443,0.004511489,0.004206129,0.004319793,0.003294996,0.003945167
YDR068W,7.56E-05,8.02E-05,7.54E-05,7.01E-05,5.56E-05,5.46E-05,7.76E-05,4.90E-05
YDR071C,0.00029044,0.000302942,0.000276622,0.000267664,0.000258485,0.000250952,0.000230897,0.000259847
YDR074W,9.76E-05,0.000160214,5.27E-05,5.04E-05,3.17E-05,3.34E-05,1.99E-05,3.72E-05
YDR087C,6.22E-05,5.75E-05,5.85E-05,5.76E-05,4.87E-05,4.53E-05,3.24E-05,3.21E-05
